Item_ID,Item_Name,Category,Size,Quantity_Available,Profit_Per_Unit,Branches_Stocked_In
H&-0001,Trendy Accessorie,Accessories,XS,105,16.6,8
H&-0002,Trendy Top,Tops,M,127,10.99,6
H&-0003,Essential Accessorie,Accessories,M,489,17.76,9
H&-0004,Basic Outerwea,Outerwear,XS,98,32.11,3
H&-0005,Classic Dresse,Dresses,S,199,16.49,4
H&-0006,Trendy Outerwea,Outerwear,XL,172,21.97,10
H&-0007,Classic Top,Tops,S,72,49.9,2
H&-0008,Essential Top,Tops,M,485,24.84,13
H&-0009,Basic Dresse,Dresses,S,75,29.07,3
H&-0010,Classic Outerwea,Outerwear,XL,416,39.64,9
H&-0011,Trendy Accessorie,Accessories,S,489,48.45,1
H&-0012,Trendy Outerwea,Outerwear,XS,236,22.7,9
H&-0013,Essential Accessorie,Accessories,S,331,16.64,12
H&-0014,Basic Bottom,Bottoms,XL,117,23.76,6
H&-0015,Basic Bottom,Bottoms,XS,32,34.06,15
H&-0016,Basic Bottom,Bottoms,M,336,47.71,13
H&-0017,Trendy Outerwea,Outerwear,XL,399,48.72,14
H&-0018,Classic Bottom,Bottoms,M,187,8.33,5
H&-0019,Trendy Accessorie,Accessories,M,480,43.18,11
H&-0020,Essential Shoe,Shoes,XL,224,21.09,13
H&-0021,Basic Dresse,Dresses,M,7,43.82,13
H&-0022,Basic Dresse,Dresses,S,224,32.55,13
H&-0023,Basic Bottom,Bottoms,S,116,41.15,9
H&-0024,Trendy Shoe,Shoes,XS,1,14.88,7
H&-0025,Classic Outerwea,Outerwear,M,368,42.02,5
H&-0026,Essential Shoe,Shoes,S,229,6.42,6
H&-0027,Essential Accessorie,Accessories,XL,420,12.64,3
H&-0028,Essential Accessorie,Accessories,XL,274,22.58,2
H&-0029,Essential Outerwea,Outerwear,M,154,7.34,15
H&-0030,Trendy Outerwea,Outerwear,L,114,41.73,11
H&-0031,Essential Shoe,Shoes,S,142,27.06,13
H&-0032,Classic Dresse,Dresses,XL,128,27.01,14
H&-0033,Essential Accessorie,Accessories,XS,78,13.33,1
H&-0034,Classic Outerwea,Outerwear,L,57,41.8,4
H&-0035,Trendy Shoe,Shoes,L,8,9.1,7
H&-0036,Trendy Shoe,Shoes,L,210,25.57,12
H&-0037,Classic Outerwea,Outerwear,L,107,21.68,11
H&-0038,Classic Dresse,Dresses,L,194,20.81,3
H&-0039,Classic Outerwea,Outerwear,L,303,31.48,1
H&-0040,Basic Outerwea,Outerwear,M,252,16.25,8
H&-0041,Basic Accessorie,Accessories,XS,270,45.83,4
H&-0042,Trendy Outerwea,Outerwear,XL,121,10.66,4
H&-0043,Basic Dresse,Dresses,XS,211,24.3,4
H&-0044,Essential Accessorie,Accessories,L,75,31.28,12
H&-0045,Essential Shoe,Shoes,M,79,39.83,6
H&-0046,Basic Outerwea,Outerwear,L,390,43.73,6
H&-0047,Classic Shoe,Shoes,XL,204,10.89,4
H&-0048,Essential Dresse,Dresses,XL,269,34.13,14
H&-0049,Basic Outerwea,Outerwear,XS,183,14.59,5
H&-0050,Trendy Accessorie,Accessories,L,225,7.12,8
H&-0051,Classic Outerwea,Outerwear,S,433,46.04,1
H&-0052,Basic Accessorie,Accessories,S,277,24.51,3
H&-0053,Trendy Bottom,Bottoms,L,465,46.53,1
H&-0054,Essential Shoe,Shoes,M,201,34,10
H&-0055,Trendy Outerwea,Outerwear,XS,426,27.06,8
H&-0056,Essential Accessorie,Accessories,XS,274,36.69,4
H&-0057,Basic Top,Tops,S,259,43.21,12
H&-0058,Basic Bottom,Bottoms,XS,333,33.2,11
H&-0059,Classic Bottom,Bottoms,L,213,8.27,3
H&-0060,Trendy Bottom,Bottoms,M,15,42.89,8
H&-0061,Classic Accessorie,Accessories,XL,115,29.7,5
H&-0062,Classic Top,Tops,M,89,38.11,5
H&-0063,Classic Outerwea,Outerwear,XL,274,19.13,7
H&-0064,Essential Accessorie,Accessories,XS,285,43.88,9
H&-0065,Basic Accessorie,Accessories,XL,355,22.29,3
H&-0066,Trendy Shoe,Shoes,L,73,41.1,11
H&-0067,Trendy Dresse,Dresses,L,17,42.17,12
H&-0068,Trendy Accessorie,Accessories,XL,287,23.77,1
H&-0069,Essential Top,Tops,S,306,28.13,1
H&-0070,Basic Accessorie,Accessories,M,239,25.35,11
H&-0071,Basic Shoe,Shoes,L,71,34.61,6
H&-0072,Classic Bottom,Bottoms,S,163,35.51,10
H&-0073,Classic Top,Tops,XL,85,42.65,6
H&-0074,Essential Top,Tops,XL,218,38.09,11
H&-0075,Classic Outerwea,Outerwear,M,397,9.03,8
H&-0076,Classic Outerwea,Outerwear,XS,244,19.38,9
H&-0077,Classic Accessorie,Accessories,XS,178,37.39,6
H&-0078,Classic Outerwea,Outerwear,XS,499,48.88,4
H&-0079,Trendy Bottom,Bottoms,L,440,13.27,3
H&-0080,Basic Accessorie,Accessories,S,156,29.8,13
H&-0081,Classic Bottom,Bottoms,XS,343,34.92,4
H&-0082,Basic Bottom,Bottoms,XL,161,39.82,8
H&-0083,Essential Shoe,Shoes,XL,230,16.38,1
H&-0084,Classic Top,Tops,S,491,8.24,2
H&-0085,Basic Dresse,Dresses,XS,324,22.01,15
H&-0086,Basic Top,Tops,S,496,13.2,10
H&-0087,Essential Dresse,Dresses,XS,499,22.7,10
H&-0088,Essential Top,Tops,XS,297,24.65,8
H&-0089,Basic Top,Tops,M,474,25.84,7
H&-0090,Classic Shoe,Shoes,XS,195,41.86,13
H&-0091,Trendy Top,Tops,XS,383,37.18,6
H&-0092,Basic Accessorie,Accessories,XS,472,37.6,12
H&-0093,Classic Outerwea,Outerwear,M,307,34.77,12
H&-0094,Basic Dresse,Dresses,M,462,23.4,10
H&-0095,Trendy Shoe,Shoes,XS,492,15.2,10
H&-0096,Basic Bottom,Bottoms,S,236,32.83,8
H&-0097,Essential Bottom,Bottoms,XS,484,48.42,5
H&-0098,Essential Top,Tops,L,101,41.1,4
H&-0099,Essential Shoe,Shoes,M,400,29.88,7
H&-0100,Trendy Accessorie,Accessories,XL,183,32.76,7
H&-0101,Basic Shoe,Shoes,XS,344,45.81,4
H&-0102,Classic Shoe,Shoes,M,383,32.78,4
H&-0103,Classic Accessorie,Accessories,XL,83,31.22,12
H&-0104,Classic Shoe,Shoes,XS,375,40.94,11
H&-0105,Basic Bottom,Bottoms,L,450,12.73,14
H&-0106,Classic Top,Tops,S,105,22.83,15
H&-0107,Essential Shoe,Shoes,L,438,20.42,15
H&-0108,Basic Outerwea,Outerwear,XS,477,24.07,15
H&-0109,Classic Top,Tops,L,233,20.56,14
H&-0110,Basic Bottom,Bottoms,M,466,37.79,8
H&-0111,Trendy Outerwea,Outerwear,XS,269,48.35,11
H&-0112,Basic Shoe,Shoes,L,460,19.38,15
H&-0113,Essential Accessorie,Accessories,XL,190,24.93,11
